p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.992443952392279	4.03734854932541	0.997	0.546	0	B cells	CD74
0	0.992327742902877	3.9891702259263	0.998	0.454	0	B cells	HLA-DPB1-1
0	0.983918994606444	3.25639555982637	0.993	0.437	0	B cells	HLA-DPA1
0	0.967053236990751	2.01711988641718	0.96	0.236	0	B cells	MS4A1
0	0.960867120736798	2.09156866557775	0.963	0.348	0	B cells	HLA-DPB1
0	0.945701293532018	2.62992548924372	0.966	0.632	0	B cells	BANK1
0	0.93537740156366	3.04396721743985	0.961	0.61	0	B cells	FCHSD2
0	0.921981593445447	1.45048610469693	0.907	0.335	0	B cells	BLNK
0	0.910437793838446	1.26704448884407	0.921	0.467	0	B cells	HLA-DOB
0	0.910328019598515	1.57862140299186	0.933	0.569	0	B cells	TCF4
0	0.908276996440724	1.11653452648387	0.881	0.382	0	B cells	HLA-DOA
0	0.905092833663332	1.61132273481363	0.882	0.385	0	B cells	LMO7
0	0.905086284574901	1.33670577919761	0.947	0.551	0	B cells	SWAP70
0	0.900529987325036	1.60723676083707	0.936	0.515	0	B cells	RALGPS2
0	0.898355576126925	2.30361112078802	0.972	0.689	0	B cells	KCNQ5
0	0.897929195648727	1.1353099183013	0.863	0.331	0	B cells	CD19
0	0.895127684867294	1.71867989260279	0.966	0.619	0	B cells	BMP2K
0	0.894348884654519	1.46168738262329	0.989	0.846	0	B cells	PRKCB
0	0.890299266555667	0.415251075534909	0.785	0.184	0	B cells	FCER1A
0	0.887219895889583	1.29046984805755	0.859	0.537	0	B cells	CR2
0	0.879915552919849	1.09377849549173	0.869	0.44	0	B cells	CD40
0	0.868432369211088	1.61013465546542	0.997	0.759	0	B cells	MEF2C
0	0.86548740887526	1.01856422807232	0.833	0.522	0	B cells	FCMR
0	0.852026762066394	0.933427753388603	0.811	0.357	0	B cells	PARD3
0	0.848905612501821	0.465462391719484	0.834	0.491	0	B cells	CTDSPL
0	0.847104190995559	1.03165225246436	0.902	0.609	0	B cells	BTLA
0	0.839569719532944	0.941263612739285	0.813	0.414	0	B cells	MBD4
0	0.839131051143425	0.356198981602326	0.723	0.22	0	B cells	KLHL14
0	0.837916818528677	1.21597931846788	0.917	0.625	0	B cells	Cmah
0	0.837700925765212	1.17484505230788	0.916	0.595	0	B cells	WDFY4
0	0.836976086318325	0.876911609063212	0.775	0.445	0	B cells	CD200
0	0.834242498146434	0.627816070206246	0.747	0.197	0	B cells	TPD52L1
0	0.829988108516118	0.570579150678311	0.708	0.299	0	B cells	mikado.WCK01-AAH20201022-F8-rsc00060G208
0	0.828053435472327	1.19230709955606	0.988	0.784	0	B cells	BIRC3
0	0.827829145934583	0.720539205759954	0.813	0.453	0	B cells	DERL3
0	0.826936266789238	0.778871600770858	0.803	0.476	0	B cells	SYT14
0	0.822610640755312	0.995136220741315	0.74	0.18	0	B cells	FCRLA
0	0.817117736806466	1.80338832701906	0.773	0.416	0	B cells	IL1RAPL2
0	0.809588186890895	0.768029987075617	0.712	0.354	0	B cells	FCER2
0	0.806365207277561	0.969043869413421	0.921	0.702	0	B cells	CCDC50
0	0.804866635648898	0.953599489183662	0.765	0.373	0	B cells	NIBAN3
0	0.804609888614604	0.739638794322472	0.806	0.489	0	B cells	SLC9A7
0	0.799550704408702	0.721577952061648	0.769	0.403	0	B cells	CHCHD10-1
0	0.799202899598858	0.872025545157477	0.88	0.546	0	B cells	MTSS1
0	0.798600202660135	0.326341703600088	0.717	0.412	0	B cells	TICRR
0	0.794185500987854	0.345932696418979	0.56	0.261	0	B cells	FCRL2
0	0.788164444530158	0.759223156962547	0.833	0.591	0	B cells	TNFRSF13B
0	0.787077965491527	0.407083981748371	0.729	0.229	0	B cells	ZBTB32
0	0.780957782084908	0.60490010464228	0.728	0.433	0	B cells	RAB30
0	0.777426397085294	0.748774353883124	0.697	0.251	0	B cells	VPREB3
0	0.776534555883412	0.436079401227984	0.715	0.414	0	B cells	SLC35F3
0	0.773755057128408	0.748734751920329	0.818	0.455	0	B cells	ZDHHC14
0	0.771083296904866	1.0171355804537	0.755	0.436	0	B cells	MARCHF3
0	0.769434687775892	0.75101001974144	0.878	0.596	0	B cells	HDAC9
0	0.769303016277096	0.480637013468815	0.808	0.609	0	B cells	ARHGAP6
0	0.765153773667789	1.16983501145414	0.788	0.609	0	B cells	FOXP2
0	0.765143188240096	0.832727958403099	0.799	0.574	0	B cells	DESI2
0	0.763750587944749	0.545311005005747	0.855	0.503	0	B cells	IFI30
