p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.883219625438705	1.47526905906308	0.995	0.508	0	Lymphocytes 1	PTPRC
0	0.883109241482514	1.54499320245411	0.92	0.319	0	Lymphocytes 1	FYN
0	0.878604073972087	1.53055165521081	0.95	0.222	0	Lymphocytes 1	mikado.WCK01-AAH20201022-F8-rsc00190G443
0	0.877229117808656	1.46089361998268	0.875	0.163	0	Lymphocytes 1	mikado.WCK01-AAH20201022-F8-rsc00275G164
0	0.857263890279809	1.39730172728219	0.893	0.217	0	Lymphocytes 1	GIMAP7
0	0.843784189996171	1.41560000323638	0.894	0.386	0	Lymphocytes 1	ATP8A1
0	0.83649903140874	1.20015512194874	0.872	0.199	0	Lymphocytes 1	CD3E
0	0.834760074737834	1.15973066422946	0.886	0.275	0	Lymphocytes 1	DOCK10
0	0.81967519893034	1.16214197182275	0.794	0.206	0	Lymphocytes 1	GBP7;GBP4
0	0.815745893698281	1.30719566426315	0.806	0.239	0	Lymphocytes 1	PTPRCAP
0	0.813035652002174	1.26431696890275	0.699	0.083	0	Lymphocytes 1	THEMIS
0	0.809253752731075	1.06269319081696	0.917	0.415	0	Lymphocytes 1	PRKCH
0	0.80913376110547	1.06883304141892	0.714	0.107	0	Lymphocytes 1	mikado.WCK01-AAH20201022-F8-rsc00073G191
0	0.807763521736606	1.15792475580068	0.824	0.241	0	Lymphocytes 1	INPP4B
0	0.798566927332607	0.924375068644536	0.896	0.393	0	Lymphocytes 1	ETS1
0	0.798136053746823	1.15712047026694	0.711	0.152	0	Lymphocytes 1	ARAP2
0	0.793148828113332	1.00057908379143	0.72	0.149	0	Lymphocytes 1	IKZF3
0	0.792087424620915	1.40914917512136	0.717	0.153	0	Lymphocytes 1	TOX
0	0.789981199763006	0.956058591801712	0.783	0.204	0	Lymphocytes 1	GIMAP1
0	0.789491163060855	1.01334541429293	0.93	0.499	0	Lymphocytes 1	ARHGAP15
0	0.789381970548856	1.05237471086255	0.74	0.163	0	Lymphocytes 1	SKAP1
0	0.787829681955078	0.85103486805979	0.757	0.216	0	Lymphocytes 1	Ifi214;Ifi209
0	0.787215409248292	0.936605511146367	0.829	0.327	0	Lymphocytes 1	PIP4K2A
0	0.787201835130345	0.977244186931516	0.781	0.235	0	Lymphocytes 1	PITPNC1
0	0.781498628022467	0.877984073877786	0.921	0.588	0	Lymphocytes 1	MBNL1
0	0.775073782243777	0.872752823665933	0.827	0.33	0	Lymphocytes 1	IKZF1
0	0.7713126178207	0.951119481258027	0.594	0.056	0	Lymphocytes 1	GZMK
0	0.76971468203459	0.798875684341739	0.758	0.262	0	Lymphocytes 1	SH3KBP1
0	0.7694068319965	0.804964415296945	0.681	0.15	0	Lymphocytes 1	GIMAP6
0	0.764829714067488	0.902208138893497	0.733	0.213	0	Lymphocytes 1	CHN2
0	0.763905388412579	0.931600035289625	0.58	0.057	0	Lymphocytes 1	SH2D1A
0	0.759335189312611	0.894085997372293	0.62	0.109	0	Lymphocytes 1	ITK
0	0.758769905035474	0.887726594341427	0.692	0.19	0	Lymphocytes 1	PDE7A
0	0.756854190091905	1.09060405699416	0.797	0.445	0	Lymphocytes 1	ASAP1
0	0.756284229183153	1.23403606604635	0.566	0.061	0	Lymphocytes 1	IKZF2
0	0.755211240023455	0.736612160584648	0.677	0.181	0	Lymphocytes 1	SLC25A26
0	0.754624889296169	0.83557027111206	0.875	0.489	0	Lymphocytes 1	RABGAP1L
0	0.753790352760141	0.80812048533619	0.858	0.411	0	Lymphocytes 1	FYB1
0	0.750015862740091	1.43441199877281	0.624	0.152	0	Lymphocytes 1	NXF2;NXF2B;NXF5
0	0.747102740217126	0.711106263522313	0.558	0.07	0	Lymphocytes 1	LAT
0	0.74324092032125	0.972819096083407	0.889	0.737	0	Lymphocytes 1	RPS15
0	0.739007467593352	0.77552780592879	0.689	0.245	0	Lymphocytes 1	TNIK
