cv_cor	pp_cor
LSM6	-0.00394824824483488	0.00306245721900741
SLC10A7	-0.026626794035109	0.030361032156204
TMEM184C	0.0241532041541673	0.0477389764960236
PRMT9	0.0170134316983644	0.0080747413888554
ARHGAP10	-0.00347815617087855	0.0119384644046051
NR3C2	-0.0010700601820102	0.0361574205655662
DCLK2	-0.000834554262769092	0.0406673902868557
LRBA	0.00827784090781403	0.039293848079077
MAB21L2	0.0293589513647939	-0.0261336425838955
RPS3A	0.236442484855941	0.11954273941186
SH3D19	0.0744930193625304	0.0415485538618978
SNRPG	-0.0103916569335197	0.029588361188522
FAM160A1	-0.0197877645207278	0.019507830622068
FBXW7	-0.0117251206678625	0.00728842050797445
ARFIP1	-0.00548107217615497	0.0533395916619718
TRIM2	0.0322085834129182	0.00467046693963313
TMEM131L	0.011285138729152	0.0181047870904842
TLR2	0.0142598993632971	0.0375683571121704
PLRG1	0.00475538220259611	0.0208759936436861
FGB	0.171782866306832	0.220154255268959
FGA	0.0839358906681055	0.136003309812542
FGG	0.177066926370719	0.142943488215765
MAP9	0.00137154360925515	0.0131924344341087
GUCY1A1	-0.0178338632442755	0.0137806883583179
GUCY1B1	0.00294545645880791	0.0258462705223373
ASIC5	0.0217694273482508	0.0239284672312094
TDO2	-0.0182671881899813	0.130100406476624
PDGFC	0.0276511007877696	0.0193665389572306
ETFDH	-0.0236227123171004	0.0591007255319046
PPID	-0.0181990078171541	0.0463205255343112
FNIP2	0.0179356431515656	0.052982986801257
RAPGEF2	-0.00715280214415353	0.0206650517025913
FSTL5	-0.0132280432111492	0.04811456200997
LOC114085529	0.00610500943333277	0.0280049961600466
ABCG2	0.0596675829088409	0.00758598125492962
HERC6	0.00131354877832567	0.0245185819546824
HERC5	0.00999793970418946	-0.00385141541565509
PYURF	-0.010436826944213	0.0574029243166051
HERC3	0.0148008114111948	0.00862831296013909
FAM13A	0.030617111787509	0.0124008002735512
TIGD2	0.0265515486721319	0.00609500426578658
GPRIN3	0.0149142966449092	0.00638746346592203
SNCA	-0.021967324769618	-0.00839247062486455
PDLIM5	0.00796068620739125	0.0419206726020104
RAP1GDS1	0.00198864700379916	0.0319403891062489
mikado.WCK01-AAH20201022-F8-rsc00002G120	0.00451945378521569	0.0459387067870619
METAP1	0.0111969022885036	0.0142723348994186
ADH5	0.0954739049906934	0.0960600079179735
ADH4	0.0165135888867144	0.142542177757279
ADH1C;ADH1B;ADH1A	0.275446759134669	0.124151255807006
C4orf17	-0.0226541657085066	0.0425511197342626
TRMT10A	-0.0138064518549035	0.0336623616898242
MTTP	0.189142420202828	0.115588526069715
LAMTOR3	0.0272014894544397	0.0182726066669183
DNAJB14	0.00778018215932107	0.0160672269217349
H2AZ2;H2AZ1	0.0265892121428631	0.129427544128553
DDIT4L	-0.0194060145847575	-0.0143752333815166
EMCN	-0.00730464489809129	0.03809598049391
mikado.WCK01-AAH20201022-F8-rsc00002G143	0.0217380627352903	0.0363602338869145
SLC39A8	0.00511837108866886	0.00704689246717322
NFKB1	0.0181575401237312	0.0207113265041567
MANBA	0.0122669054925352	0.0122121732844493
UBE2D3;UBE2D2	0.0685813461863308	0.0867199434618495
CISD2	0.0438138564423627	0.0473797322946488
BDH2	-0.0251853634319496	0.110604650223538
CXXC4	-0.0165036673898437	-0.00458584799185098
PPA2	-0.0212532254603863	0.0634311580540347
INTS12	0.0290523615950024	0.0243034589204633
GSTCD	-0.015845846627171	0.0432076824403212
NPNT	-0.024153995568013	0.0427199760868368
TBCK	0.00932760147852205	0.02317901990636
AIMP1	0.0305707152498476	0.0242582496607231
GIMD1	-0.0302514699384884	0.0348998717884772
PAPSS1	0.0105062598242286	0.00724268739051524
HADH	0.21152003858511	0.0664984007072424
RPL34	0.282786954594294	0.152990135001537
OSTC	0.0313937580976065	0.0750574063810658
ETNPPL	-0.0539181090985339	0.124487644994045
SEC24B	0.00837667711260518	0.0528408324417854
MCUB	-0.00486054236917575	0.0212014948683767
PLA2G12A	0.0454413656733451	0.0078624327812851
CASP6	-0.0131730820661615	0.0400278083339666
CFI	0.117622953450399	0.0717914602168999
ELOVL6	0.10095823797138	0.22626954009723
mikado.WCK01-AAH20201022-F8-rsc00002G194	0.0266768193904546	-0.0216489050129278
AP1AR	0.0234456560595208	0.0348787621516111
ALPK1	-0.00202439679734922	-0.00236723496730035
LARP7	0.000324278319592874	0.0484689985919126
ANK2	0.0257460774916348	-0.0083686449198063
CAMK2D	-0.00695230121050026	0.0347304701062394
ARSJ	0.00656819836353126	0.0308000947991071
MMAA	0.0140548342446514	0.0219923771747932
SMAD1	0.0256279994363024	0.0236754535971355
OTUD4	0.029030277853867	-0.00571916838360048
ABCE1	0.0224194297847216	0.021635076351645
ANAPC10	0.0255533320459488	0.0244204194535398
HHIP	0.0731009463683685	-0.0297327270546594
SMARCA5	0.00158331896172311	0.0405817521544008
GAB1	0.00185219474240084	0.0209539184733326
USP38	0.0089169198835176	0.00532106612133665
ZNF330	0.0327700360050356	0.0176559256216724
TBC1D9	0.00511892072033571	0.0218047694686658
ELMOD2	-0.00151512070324426	0.0187980147712737
SCOC	0.021571560454484	0.0166049346923458
mikado.WCK01-AAH20201022-F8-rsc00002G258	0.00839885700015985	0.0425756309787815
NAA15	0.0346421024614036	0.0248744654669859
NDUFC1	0.0898760839303604	0.136115651730628
ELF2	0.0232195526053173	-0.00270421077919621
PCDH18	0.0144685760209223	0.0293797356226885
SURF4	0.0192745899296925	0.0266962759816493
PCDH10	0.0130036190942294	0.00161123407638764
C4orf33	-0.0157993622572729	0.026805699086712
SCLT1	-0.012993671558887	0.0105585037915704
JADE1	-0.0037872789005508	0.0125557061098492
PGRMC2	0.0410395641115621	0.112955736760156
Larp1b	0.0434786251521976	-0.00669103763148122
MFSD8	0.0200932180583215	-0.00154581159784779
ABHD18	0.0183521388326894	0.0254643204760062
HSPA4L	-0.0107178288268688	0.0624500524147614
ABHD17C	-0.00468890503342038	0.0516623969569522
CEMIP	0.0494879059866937	-0.00506218795236849
MESD	-0.0238277387538628	0.040409436967294
TLNRD1	0.00328916627145926	0.0255672851584267
IL16	0.0168683079761621	0.0112332647132121
STARD5	-0.0180432902350097	0.00823602238376894
EFL1	0.0181724737286153	0.0155719862212993
HDGFL3	-0.0390909739687977	0.0308227474797635
BTBD1	0.0184871196886017	0.0462785551582296
C15orf40	0.0282984479841854	0.0366495263923648
RAMAC	0.0357649704911733	0.0387125557384182
HOMER2	-0.0195642983201433	0.0503127662862948
WHAMM	0.000635055647249773	0.0181316417099297
mikado.WCK01-AAH20201022-F8-rsc00005G31	0.185699024487967	0.142389435104216
PDE8A	-0.0094411610385363	0.0676601338513165
SLC28A1	0.0126148920936571	0.0240346827837106
ALPK3	-0.00891180576487151	0.036768500586706
SEC11A	0.0406127546944308	0.0592475273156715
NMB	0.0281551709582539	0.0348933823797493
WDR73	0.0414179369944006	0.0121123183872321
mikado.WCK01-AAH20201022-F8-rsc00005G41	0.0333790898214487	-0.0262104874580833
ZSCAN2	0.0123519755035203	0.0220009247400484
IQGAP1	0.0184094521898405	0.00120293983021072
mikado.WCK01-AAH20201022-F8-rsc00005G45	-0.00903914098046528	0.015186541225313
CRTC3	0.0101097895558342	-0.0149840148097787
FURIN	0.0172419443948511	0.133335356933564
FES	0.0116938059106555	0.000326836587291725
MAN2A2	0.0126156767671031	0.0328121189205608
HDDC3	-0.00503201506286168	0.0215083952240367
UNC45A	0.00834120981674647	0.0595143594358894
RCCD1	0.0329114858088748	0.000866538357561319
VPS33B	0.0274242743261645	-0.00414151243444795
NGRN	0.0177864469550399	0.0463758015606957
CIB1	0.0316263822718349	0.061837232732715
SEMA4B	0.00634079683299019	0.0124218252877649
IDH2	0.104535114261932	-0.0198682224764695
ARPIN-AP3S2;ARPIN	0.0226878792076523	0.0279342776688628
AP3S2;AP3S1	0.00617739260619949	0.0362802862605738
ANPEP	0.0587146916438577	0.047902059870134
MESP1	0.00557706879039392	0.0183195476145057
PEX11A	-0.0086951279228251	0.0108591435015272
POLG	0.00930671662436058	0.0527089439640713
FANCI	-0.00630916885432192	0.0449625217657938
MFGE8	0.0436807053083088	0.0436150516158574
ISG20	-0.00484266342679435	0.0787298279207719
AEN	-0.00983411852437716	0.0111711287681239
DET1	-0.00604153841344131	0.0328820446774943
MRPS11	-0.00371752534088518	0.0647961994272064
MRPL46	-0.0126426995417809	0.0391128518189791
AKAP13	-0.0109977788132607	0.00289375871365988
FAM174B	-0.0335689945583756	0.0403220069025726
mikado.WCK01-AAH20201022-F8-rsc00005G109	0.0250976102343849	0.050000160180838
CHD2	-0.00677340491826865	0.0279136290516422
MCTP2	0.00304405648008516	0.0119191828487383
NR2F2	-0.00472523353669352	0.0447238730001134
ARRDC4	-0.00232377939550448	0.0208346620425076
TTC23	0.0128542977170673	0.0261136150356897
LRRC28	0.0260823547115295	0.0127655154598712
MEF2A	0.0333465458156633	0.00447953432205612
LYSMD4	-7.40745318657987e-05	0.0178517280708614
LRRK1	-0.00537173288920711	0.0468492641780769
SELENOS	0.00096502867585917	0.0467144247375802
