p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.64950984488347	0.639	0.093	0	0	TLL1
0	2.51432531988192	0.911	0.26	0	0	FBXL7
0	2.22771566645404	0.673	0.194	0	0	NRG1
0	1.94592957367497	0.56	0.112	0	0	PCDH7
0	1.92114368081795	0.826	0.271	0	0	LDB2
0	1.89217329731676	0.893	0.339	0	0	TCF4
0	1.84923750344649	0.933	0.405	0	0	CEMIP2
0	1.60236365662689	0.823	0.213	0	0	SH3RF1
0	1.57890565572409	0.735	0.239	0	0	RAPGEF5
0	1.57370228198603	0.826	0.248	0	0	ADAMTS9
0	1.55085750757727	0.809	0.216	0	0	FLT1
0	1.53061951548332	0.779	0.202	0	0	MARCHF3
0	1.49853445151381	0.785	0.222	0	0	SH3RF3
0	1.44670899806975	0.806	0.169	0	0	NAV1
0	1.39380485033756	0.88	0.384	0	0	PDE4B
0	1.33135289746896	0.625	0.125	0	0	EDIL3
0	1.32826606871296	0.712	0.211	0	0	PRICKLE2
0	1.25352168839546	0.812	0.27	0	0	MEF2C
0	1.25023890370896	0.831	0.233	0	0	COL4A1
0	1.24641463409392	0.701	0.239	0	0	SHROOM2
0	1.2389242684367	0.554	0.109	0	0	CYYR1
0	1.22946914119017	0.735	0.23	0	0	PDE10A
0	1.21051032658566	0.629	0.101	0	0	ZNF521
0	1.20994313144445	0.857	0.356	0	0	RASAL2
0	1.20348440230654	0.715	0.236	0	0	UNC13B
0	1.19106282941586	0.721	0.215	0	0	IGF2BP2
0	1.17538021105377	0.753	0.26	0	0	SVIL
0	1.15724501316392	0.585	0.123	0	0	ADAMTS1
0	1.13875302097708	0.86	0.318	0	0	APBB2
0	1.13539776298116	0.712	0.154	0	0	ADGRL4
0	1.13399427345772	0.884	0.445	0	0	PRKCE
0	1.12102427661727	0.847	0.389	0	0	CDK17
0	1.08805493674925	0.823	0.328	0	0	RAI14
0	1.05945186978796	0.736	0.181	0	0	COL4A2
0	1.05625871664028	0.633	0.169	0	0	CNKSR3
