gene	p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj
LOC107134468	3.14E-15	0.962826087	2.123569366	1	0.74	6.34E-11
GBP2;GBP3;GBP1	9.55E-14	0.902608696	4.159432628	0.848	0.08	1.93E-09
CXCL8	4.41E-11	0.833478261	3.714245518	0.696	0.04	8.92E-07
WARS1	2.82E-09	0.808695652	2.862496476	0.696	0.12	5.69E-05
IRGM	1.09E-08	0.803478261	2.222863967	0.739	0.14	0.000220926
NFKB1	1.38E-08	0.830869565	1.61970529	0.935	0.62	0.000278271
CXCL2;CXCL3;CXCL1-1	2.04E-08	0.781521739	2.962937906	0.63	0.08	0.000412027
ITGAV	2.60E-08	0.805217391	2.389642413	0.761	0.26	0.000525359
LOC114103596	4.57E-08	0.806956522	2.211848172	0.783	0.34	0.000923423
BATF2	7.13E-08	0.784130435	2.45453559	0.674	0.18	0.001441327
BIRC3	1.43E-07	0.804347826	1.702150824	0.891	0.44	0.002887846
TXNRD1	1.50E-07	0.780869565	2.282181916	0.696	0.22	0.003023795
IKBKE	2.20E-07	0.743043478	2.147094293	0.543	0.06	0.004439236
CD44	2.33E-07	0.795869565	2.080064389	0.804	0.44	0.004703622
CSF1	8.98E-07	0.743478261	2.558103041	0.565	0.12	0.018152627
PDGFD	1.13E-06	0.233913043	-2.288345494	0.239	0.7	0.022880297
ADGRL3	1.19E-06	0.246086957	-2.03170886	0.174	0.64	0.023961527
DRAM1	1.37E-06	0.726086957	2.031026896	0.522	0.06	0.027677542
CHIC1	1.83E-06	0.781304348	0.839096391	1	1	0.037046446
ALPK1	2.20E-06	0.737173913	2.077589783	0.587	0.14	0.044510706
LURAP1L	3.91E-06	0.31	-2.678071905	0	0.38	0.078971034
C3orf49	5.46E-06	0.687391304	2.729103476	0.391	0.02	0.110366686
RAPGEF4	6.33E-06	0.673913043	3.671194898	0.348	0	0.127912128
GPR39	6.37E-06	0.23673913	-1.543354683	0.674	0.94	0.128863637
SLCO3A1	9.95E-06	0.745652174	2.068171503	0.717	0.34	0.201225146
GBP6	1.11E-05	0.697173913	1.932221886	0.457	0.06	0.224042753
PLEKHA4	1.12E-05	0.686956522	1.933525722	0.413	0.04	0.226143598
NAV2	1.24E-05	0.75826087	0.839518245	0.978	0.8	0.250681659
LOC107134769-1	1.28E-05	0.675869565	2.422857004	0.37	0.02	0.259203493
Epsti1	1.33E-05	0.736086957	1.697219415	0.674	0.28	0.26892287
IFI16	1.33E-05	0.743695652	1.054264363	0.87	0.54	0.269653292
CXCL10	1.52E-05	0.674782609	2.917307212	0.37	0.02	0.307284869
PARP8	1.74E-05	0.74326087	1.211305172	0.848	0.5	0.352687558
UBE2Q2	1.86E-05	0.287391304	-1.513577867	0.13	0.56	0.375189764
JAK2	1.94E-05	0.723043478	1.803660438	0.609	0.22	0.392235245
CD40	2.41E-05	0.676956522	1.991011217	0.391	0.04	0.486906613
PPP3CA	2.78E-05	0.259782609	-1.172836597	0.652	0.9	0.562242601
TM4SF4	3.41E-05	0.329130435	-2.603732305	0.022	0.36	0.688765799
IRF1	3.56E-05	0.721304348	1.196397213	0.717	0.26	0.720380883
N4BP2L1	4.40E-05	0.705652174	1.781359714	0.565	0.16	0.888675234
LDB2	4.72E-05	0.259347826	-0.815509054	0.848	1	0.954629246
APOL6	4.82E-05	0.667391304	2.150882554	0.37	0.04	0.974291027
EIF2AK2	4.89E-05	0.705	1.257797757	0.587	0.16	0.987612412
EPHA6	5.22E-05	0.30673913	-1.938599455	0.109	0.48	1
ALB-1	5.87E-05	0.269347826	-1.170337731	0.565	0.86	1
NUB1	5.90E-05	0.672173913	2.427722759	0.391	0.06	1
mikado.WCK01-AAH20201022-F8-rsc00038G1088	6.91E-05	0.711956522	2.052607426	0.609	0.26	1
SAMD4A	7.10E-05	0.716956522	1.643391479	0.696	0.32	1
NDUFV2	0.000106728	0.718478261	1.165327987	0.826	0.46	1
HBQ1	0.000109563	0.670869565	1.88582898	0.413	0.08	1
HIPK2	0.000112466	0.279130435	-1.055782995	0.565	0.82	1
PRKCA	0.000115324	0.27826087	-1.09700032	0.543	0.88	1
KCNE3	0.000141899	0.350217391	-2.149166441	0.022	0.32	1
LOC114084552;LOC114084555;LOC114107584	0.000146371	0.677391304	1.731251943	0.457	0.12	1
B2M	0.000158902	0.705217391	1.24726709	0.696	0.38	1
PABPC1;PABPC3	0.000193866	0.290217391	-0.825766959	0.587	0.92	1
CXCL2;CXCL3;CXCL1	0.000213399	0.646086957	2.583468254	0.326	0.04	1
PIK3AP1	0.000255078	0.673695652	1.422857004	0.478	0.14	1
CASP5;CASP4	0.000256065	0.68826087	1.351338525	0.565	0.22	1
RIPK2	0.000260677	0.682608696	1.605721061	0.522	0.18	1
LOC114086011-13	0.000279002	0.306956522	-1.564203941	0.261	0.6	1
SCTR	0.000290308	0.330217391	-1.735970289	0.109	0.44	1
RNF19B	0.000290746	0.63173913	1.828113482	0.283	0.02	1
Ifi47	0.000294631	0.631521739	1.752562449	0.283	0.02	1
LOC114078893	0.000296982	0.68	2.225972312	0.5	0.18	1
TNIP1	0.000302138	0.692826087	1.196397213	0.63	0.28	1
RASA1	0.000311171	0.294130435	-0.845242357	0.587	0.86	1
SGSM3	0.000313412	0.704347826	1.180835776	0.783	0.48	1
ZC3H12C	0.000381127	0.658695652	1.584962501	0.413	0.1	1
MAGI1	0.000395878	0.292173913	-0.834088966	0.804	0.92	1
Gm4841;F830016B08Rik-1	0.000396412	0.673043478	1.48393258	0.5	0.16	1
THSD4	0.000432717	0.300434783	-1.309616542	0.457	0.74	1
EXT1	0.000446427	0.704347826	0.904444658	0.891	0.66	1
Tlr13	0.000454944	0.65	1.837894503	0.37	0.08	1
HS6ST2	0.000492689	0.333695652	-1.388046985	0.13	0.46	1
CDH6	0.000534676	0.35173913	-2.132921111	0.065	0.36	1
PLEKHO1	0.000540482	0.341086957	-1.474652356	0.109	0.42	1
ANK3	0.000540836	0.686304348	1.502627568	0.609	0.3	1
CCL23;CCL15-1	0.000548949	0.690217391	1.250283704	0.674	0.34	1
IDO1-1	0.000551342	0.621956522	2.268686074	0.261	0.02	1
MYO1B	0.000556773	0.695434783	0.987249298	0.761	0.46	1
STX3	0.000559713	0.691304348	1.000922145	0.739	0.38	1
PARP14	0.000579343	0.666956522	1.427722759	0.478	0.16	1
MYO1D	0.000587821	0.700652174	0.46375891	0.957	0.82	1
IRGM-1	0.000614629	0.620652174	1.672835257	0.261	0.02	1
TNFSF15	0.000622762	0.36173913	-2.267222203	0.043	0.32	1
WDR25	0.000649225	0.653043478	1.373274975	0.413	0.1	1
ERBB4	0.000705787	0.323695652	-2.492413257	0.239	0.54	1
CCL20	0.00070916	0.619565217	2.396625462	0.261	0.02	1
TRIM56	0.000748082	0.644782609	1.38332864	0.37	0.08	1
ETV6	0.000817612	0.694347826	0.820429874	0.891	0.7	1
VWA5A	0.000839553	0.634347826	1.553253641	0.326	0.06	1
MTMR2	0.00085509	0.65673913	1.206450877	0.457	0.14	1
TENM3	0.000867241	0.684565217	1.199245575	0.696	0.42	1
NR3C1	0.000869722	0.326521739	-1.607954143	0.261	0.54	1
APC	0.000887057	0.33	-1.125685008	0.239	0.56	1
LRCH3	0.001013814	0.68	0.869573089	0.848	0.62	1
SETD5	0.001022373	0.323043478	-0.996164743	0.348	0.66	1
ULK4	0.001077666	0.644130435	1.642715268	0.391	0.1	1
IGSF3	0.001092874	0.622173913	1.605721061	0.283	0.04	1
Sfi1	0.001092874	0.622173913	1.745898719	0.283	0.04	1
TRIM33	0.001096903	0.352173913	-1.424026283	0.109	0.4	1
ACAT1	0.001128549	0.62173913	1.530170028	0.283	0.04	1
PRPF40B	0.001233998	0.653478261	1.257797757	0.457	0.16	1
ATXN7	0.001288416	0.658695652	1.240203697	0.5	0.2	1
ECPAS	0.001345598	0.669782609	1.107118845	0.609	0.32	1
TAP1	0.001364542	0.655	1.200464582	0.478	0.18	1
SASH1	0.001478345	0.321521739	-1.209495979	0.413	0.68	1
STK3	0.001509623	0.675652174	0.898630262	0.717	0.44	1
ABCC1	0.001521937	0.642173913	1.447458977	0.391	0.12	1
MATR3	0.001566809	0.33326087	-0.974564953	0.326	0.64	1
ABTB2	0.001587066	0.649130435	1.007819504	0.457	0.14	1
EXOC6	0.001594312	0.322826087	-0.97924144	0.435	0.72	1
Il15ra	0.001619982	0.624130435	1.618545101	0.304	0.06	1
EML4	0.001652967	0.318913043	-0.849215399	0.652	0.82	1
HES1	0.001662802	0.343913043	-1.147186077	0.174	0.48	1
LPP	0.00167393	0.683043478	0.890288628	0.826	0.7	1
mikado.WCK01-AAH20201022-F8-rsc00060G101	0.001767466	0.359347826	-1.561176248	0.109	0.38	1
NFKBIE	0.00178104	0.622826087	1.413075983	0.304	0.06	1
RAP1B	0.001857556	0.670869565	1.033142285	0.652	0.44	1
SDC4	0.001937546	0.652173913	1.326103771	0.478	0.2	1
TEAD1	0.002037933	0.332173913	-0.851136614	0.5	0.76	1
